OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
1166,3063,4221503,Cottonwood Grove Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1197.23258856247,37402.2807397138
1167,5480,6232202,Middle Issaquah Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,28904.2817093914,10652098.2900601
1168,5045,5241503,Somerset Highlands Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,4060.4578871615,91955.4313130924
1169,7176,4241605,Cheasty Boulevard,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,13948.9578280962,842382.159197281
1170,2837,5231604,Riverview Park - Renton,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,4398.9890181889,490664.843875715
1171,5304,6221602,Take-A-Break Park,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City,1619.74238466987,83769.3210712973
1172,7250,3222904,Dockton Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,10598.1207569124,1931486.28673706
1173,7836,6211405,Jones Lake Open Space,Park Site,City of Black Diamond,City,City of Black Diamond,City,City of Black Diamond,City,5272.22208509128,612260.96378883
1174,5037,5242215,Owl Avenue Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1153.74132621706,31926.0080386564
1175,2481,3231801,Fern Cove,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,3850.87988376445,550696.242091024
1176,8205,6203602,Pinnacle Peak Lease Site,Park Site,King County WLRD,County,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,5935.67764513671,1619607.54119325
1177,7108,3251305,14th Avenue NW Boat Ramp,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,752.901610471553,27096.1129237155
1178,6944,4240908,Jimi Hendrix Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1277.66637044227,100664.432262281
1179,2369,4240401,Pratt Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2250.38187821068,237939.856201056
1180,2613,5250802,Terrace Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,1144.18532342149,78280.004067495
1181,2682,6241701,Lake Sammamish State Park,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,28730.7909321792,20516575.1892382
1182,2806,5262902,North Kirkland Community Center,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,3084.34830148839,240666.161878585
1183,8111,6243302,Mine Hill Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,3861.60113994834,132289.885893416
1184,15339,4230501,Glendale Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2262.14756629681,210649.832641341
1185,3125,8230501,Tollgate Farm,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,12624.0312638102,7295447.62805479
1186,7843,3260206,Kayu Kayu Ac Park,Park Site,Other King County,County,City of Shoreline,City,City of Shoreline,City,1253.63559675337,78499.367992405
1187,7251,4213002,SW 363rd Street Open Space,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,4626.28077597642,340366.553696669
1188,6893,5231803,Gateway Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,356.291142083082,7549.81970063655
1189,5169,7242609,Cottonwood Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,504.821614246348,16855.1435495114
1190,7185,3241003,Alki Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1956.6728278392,197650.091327715
1191,7134,3252407,Queen Anne Boulevard,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,40276.3987877836,1314206.29206031
1192,5013,5242204,Forest Drive Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,4045.51078900206,72422.3284641319
1193,2579,5252101,Pikes Peak Greenbelt,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3532.37195826205,275218.18737815
1194,7184,3241002,Schmitz Boulevard,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2562.34169735758,103975.166434735
1195,2289,4242401,Groveland Beach Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,1729.27765669113,131942.730878651
1196,2762,5232401,Ricardi Reach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,4614.57703335194,440784.874033189
1197,5107,5251104,Bridle Crest Trail Site - Redmond,Trail Site Regional,City of Redmond,City,City of Redmond,City,City of Redmond,City,8991.1054872794,629460.37991519
1198,2952,5231202,Cedar River to Lake Sammamish Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,17952.6812492342,948857.399461254
1199,2959,5261703,Tolt Pipeline Trail Site,Trail Site Regional,Other Utility District,Other Government,King County Parks and Recreation,King County Parks,Other Utility District,Other Government,158695.606325573,7346094.31153333
1200,2977,4233601,Interurban Trail Site - Kent,Trail Site Regional,Puget Sound Energy,Other Government,King County Parks and Recreation,King County Parks,City of Kent,City,62239.9670945227,905110.338083516
1201,2958,6241602,East Plateau Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,15916.3245516291,1190335.00853469
1202,2972,4213501,Interurban Trail Site - Pacific,Trail Site Regional,Puget Sound Energy,Other Government,King County Parks and Recreation,King County Parks,City of Pacific,City,6892.34813388591,101253.395592215
1203,2949,6261203,Snoqualmie Valley Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,382456.893909099,26124271.523572
1204,2971,5251504,Bridle Crest Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,7682.6709739072,65749.6786041625
1205,2974,4232502,Interurban Trail Site - Tukwila,Trail Site Regional,Puget Sound Energy,Other Government,King County Parks and Recreation,King County Parks,City of Tukwila,City,15384.3467471517,203845.427392702
1206,2947,6220904,Cedar River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,107120.891777857,6467894.053944
1207,2373,4262501,Juanita Triangle Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,785.517042765791,27036.7689241535
1208,7297,4222410,Burlington Green,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1238.74084197428,41228.7019053476
1209,5113,5243405,Highlands Trails,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,27185.9015722331,134547.30969795
1210,7017,4252802,William Grose Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,607.861672470207,18038.2571866022
1211,5114,5242604,Tralee Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,722.806947179236,25654.9752582932
1212,7199,4241505,Landing Parkway,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1070.15690902946,15683.212340067
1213,7102,4250807,Corliss Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,392.80972429907,6585.78606278822
1214,15341,4213602,Aspen Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,463.378113109344,10407.5049993805
1215,2588,5251204,Bear Creek Park - Redmond,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,4029.50466733394,483563.989350302
1216,7082,4262903,Northgate Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,936.032074393002,51498.5806911294
1217,2412,4210702,French Lake Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,2557.17177226106,408289.927045861
1218,15405,5210902,Village Square Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,876.059637708135,42524.9360178067
1219,6890,5230301,Glencoe Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,607.85105982479,23030.7072801709
1220,7099,4250804,University Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1429.52043877176,119713.761026587
1221,7069,3242402,Puget Boulevard Commons,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1897.15558190059,107430.412522612
1222,2748,4241103,Slater Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,734.201215370389,25881.8611596011
1223,7018,4252803,Prentis I. Frazier Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,544.784062428103,15924.3282506564
1224,7158,4253406,Leschi-Lake Dell Natural Area,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,4478.05775132745,148352.719986217
1225,7812,6242902,Harvey Manning Park at Talus,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,3269.38231907444,430770.112699363
1226,2473,3242501,Walt Hundley Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3520.26199015601,523769.612341663
1227,7177,4240913,McClellan Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,97.1847166754422,364.694299017693
1228,6991,3251304,Fremont Peak Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,664.617648178736,24454.4590944595
1229,5378,6261309,Lake Rasmussen Park,Park Site,City of Duvall,City,City of Duvall,City,City of Duvall,City,2906.39373729984,338552.87563033
1230,2520,4240402,Judkins Park and Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,8401.76017696167,888181.215697152
1231,2706,5262001,Windsor Vista Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,4463.27448955107,210542.897862676
1232,6960,4240405,Benvenuto Viewpoint,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3829.92416876438,72643.0375886793
1233,7302,5223402,Service Club Community Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,4888.28051416989,1259944.41601856
1234,2546,4221001,Van Dorens Landing Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,2763.418901789,402973.537611413
1235,6916,4223301,Heritage Woods Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,3015.45094611534,179206.454935982
1236,7796,7241301,Tokul Creek Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,20900.9737896252,7172555.6500559
1237,2405,3263502,North Beach Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,5690.38768016693,358778.927876522
1238,5070,8230906,Gardiner Weeks Memorial Park,Park Site,City of North Bend,City,City of North Bend,City,City of North Bend,City,1830.21644204957,162588.650010172
1239,2278,4250401,Dahl Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3249.07079215301,630003.429837484
1240,7075,4243403,Benefit Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2320.12145436871,96005.7012523049
1241,7117,4251503,Laurelhurst Triangle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,111.120434651501,913.197861081237
1242,2688,6240901,Pine Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,4171.44918715902,826999.194342456
1243,2623,5242801,Hazelwood Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,3820.61480237572,340215.991038512
1244,2331,5220901,Green Tree Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1119.67904468392,64088.4847312128
1245,2654,5250203,Edge Skate Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1009.97159764497,63253.5201488621
1246,2813,5231704,Jones Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,3104.74284018997,122094.88605807
1247,7093,4250902,Ravenna Ravine,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1049.02938786399,42335.1381938958
1248,6977,3252302,Thorndyke Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1728.56370545414,59731.752521253
1249,5170,7242610,Raven Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,510.568400335613,14334.6132567409
1250,2355,6242901,Tibbetts Valley Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,4986.40806223075,1604225.44849583
1251,5096,6240501,Ebright Creek Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,3421.46903517058,537341.21695696
1252,2829,5231703,Liberty Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,2905.55908074348,457698.535952977
1253,5053,5241403,Whispering Heights Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3120.22592541621,181036.38014632
1254,2973,4212402,Interurban Trail Site - Algona,Trail Site Regional,Puget Sound Energy,Other Government,King County Parks and Recreation,King County Parks,City of Algona,City,15991.6518097159,237919.01275112
1255,2963,5260703,Sammamish River Trail Site - State,Trail Site Regional,Washington State DOT,State,City of Bothell,City,City of Bothell,City,1783.78471920347,195193.612146897
1256,4552,4220403,Des Moines Creek Park - SeaTac,Park Site,City of SeaTac,City,City of SeaTac,City,City of SeaTac,City,7767.48685635129,2279260.08976396
1257,2454,3211201,Adelaide Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,3327.47220100692,295726.077302354
1258,7863,6240401,Sammamish Commons,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,7062.45759948787,1702068.2733695
1259,8219,5223101,Riversands Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1651.41674884956,74262.3235937519
1260,5029,5241305,Lakemont - Stratford Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,9663.3687668404,353566.899663555
1261,2513,4241202,Mercerdale Hillside Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,5248.71267940585,790568.579426647
1262,2587,5251201,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,30811.5444063667,27185597.5683936
1263,7818,5253204,Sixth Street Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,325.898468495358,6087.70183677657
1264,2747,5243401,China Creek Open Space,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,24642.1423490913,2280299.8416983
1265,6957,4253102,Piers 62 and 63,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1390.75632859056,76044.2260704839
1266,2645,5250901,South Rose Hill Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,1719.51089827057,94242.8407312319
1267,2781,5240302,Bannerwood Ballfield Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3928.61673094142,545786.752824347
1268,5356,6260502,Paradise Lake Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,17438.0950086307,9496907.00776999
1269,8152,2223502,Spring Beach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,10712.4485899347,2950170.88955257
1270,2998,5242301,Lewis Creek Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,6211.28842554163,2120207.20679241
1271,2480,3232001,Whispering Firs Bog,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1283.04684510076,78261.990798665
1272,8222,5213202,Edgeview Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,779.442637331213,35052.4488574274
1273,7167,4240513,Prefontaine Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,213.554444170242,1810.25617139274
1274,2370,5211601,Auburn Narrows Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,24919.8743548909,4731627.13573373
1275,7838,5213002,White River Trail Site,Trail Site Regional,City of Auburn,City,City of Auburn,City,City of Auburn,City,3467.81786982828,19899.1628623363
1276,2955,6242103,East Lake Sammamish Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,117774.568544903,5478109.65331663
1277,5354,6202607,Enumclaw Foothills Trail Site,Trail Site Regional,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,12641.6396614629,1439764.22463931
1278,2946,4211802,West Campus Trail Site,Trail Site Regional,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,12325.8684875397,1042972.48270046
1279,2948,4321002,Green River Trail Site - Tukwila,Trail Site Regional,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,9278.27123216891,222322.572312826
1280,2664,6222601,Rock Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,19364.0053487053,6271440.13037845
1281,2757,7221801,Levdansky Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3748.22489531642,752309.103691051
1282,2982,6262002,Middle Bear Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,29518.0000340635,5277215.14724565
1283,2672,6251001,Kathryn C. Lewis Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2933.44320534852,437630.988830848
1284,2353,5230401,Sierra Heights Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,5517.1399615441,369724.926495731
1285,2505,7263501,Lake Joy Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,800.586303447503,32084.4956020778
1286,2957,4251702,Burke-Gilman Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,51268.8577541244,1414083.21565859
1287,2477,3251001,Discovery Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,36647.9311062727,23700126.5898647
1288,5382,7242503,Ironwood Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,1433.84266026292,84386.5840688085
1289,6933,4262901,Pinehurst Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,949.578510497685,54825.7133981923
1290,2346,5230902,Highlands Park - Renton,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,2940.06179551519,470356.66398389
1291,2713,5250202,Redmond Muncipal Campus,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,4017.65143572138,689718.549795905
1292,7141,3252307,Condon Way Centerstrip,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2855.07836649083,23988.4545496819
1293,2632,5241101,Robinswood Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,6534.43068854711,2183513.41980722
1294,2765,3252503,Kinnear Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,4277.0720779353,639263.011112152
1295,7269,6263105,Juel Community Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,5175.71936037294,1667901.19897474
1296,2612,5252502,Viewpoint Open Space,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,3218.59691139954,417781.339283935
1297,2846,7210902,Palmer Jellum Connection,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,18872.025776219,10490355.2331376
1298,2489,4230802,Southern Heights Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1599.51259219063,142431.707414183
1299,8146,8230909,Tanner Trail,Park Site,City of North Bend,City,City of North Bend,City,City of North Bend,City,4101.9821758039,100911.813396631
1300,2780,5240301,Spiritwood Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1972.12078698211,115249.915540539
1301,7851,3250105,Kirke Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,981.481046341928,39072.2762889336
1302,2722,6260501,Upper Bear Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,10314.3000088636,1405563.22972536
1303,7111,3251502,Kiwanis Memorial Preserve Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,9254.22794886875,710864.921513007
1304,2570,4222703,Glenn Nelson Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,2509.51489060923,395503.534762153
1305,2311,4252103,West Montlake Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2502.80454331532,122860.078078983
1306,2288,4242501,South Mercer Playfield,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,3484.25468766623,700058.292777872
1307,2605,5252402,Ardmore Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,9406.9531399648,1330179.81564909
1308,2531,5231602,Maplewood Roadside Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1102.66767476471,28453.5418246943
1309,2420,3252201,Magnolia Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,28218.819839752,2481793.18470437
1310,2253,4260601,Echo Lake Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,1054.06644089851,33700.431378178
1311,5111,5243403,Highlands Forest View Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,602.869972952285,23101.4717597637
1312,7057,4241001,Mount Claire Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2468.41794892195,41644.6712830689
1313,7259,3231901,Shinglemill Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,8045.12958436611,3016667.98015611
1314,2388,5212101,Shaughnessy Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1827.01981937587,150216.023894663
1315,7286,4222405,Uplands Extension Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,2812.25191486577,140964.923610229
1316,4280,7243303,Raging River Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,17721.5327155259,3760443.57009619
1317,2550,4220701,Marine View Park,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,5922.03846128368,1186617.68490955
1318,2717,6212702,Flaming Geyser State Park,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,28480.7744337581,17979077.7177321
1319,5164,7242604,Chanticleer Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,556.272901777882,18335.0777344455
1320,2655,6222401,Big Bend Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,15395.9081080399,4612703.66086584
1321,2640,5250402,North Rose Hill Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,7994.45191552151,1123950.66029749
1322,4828,7191802,Mud Mountain Dam Recreation Area,Park Site,Other Federal,Federal,Other Federal,Federal,Other Federal,Federal,4059.69580654779,622961.78480621
1323,6999,4262808,Pinehurst Pocket Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,375.324417662924,8104.75559300447
1324,2528,4232701,McMicken Heights Park,Park Site,City of SeaTac,City,City of SeaTac,City,City of SeaTac,City,2219.9601865318,156486.268303787
1325,2749,4241102,Garfield Landing,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,698.690502643784,19181.6127081159
1326,15373,2221303,Wax Orchard Site,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,12335.3590113987,4826908.87906764
1327,2272,4260802,James Keough Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,1695.79314894053,135057.514317785
1328,2597,5260702,Sammamish River Park,Park Site,City of Bothell,City,City of Bothell,City,City of Bothell,City,14914.8683939134,1671532.17723778
1329,15347,4213505,Rhubarb Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1095.74862012776,19665.3624224222
1330,5046,5241505,Somerset North Slope Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,526.825983608873,17140.3551005455
1331,2680,6241802,Meerwood Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,1840.16530589939,72544.0913759
1332,2472,3243501,Lincoln Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,11024.4685711641,5542804.26479301
1333,2479,3232901,Ober Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,2446.31511961969,234112.816664505
1334,2379,7251601,Loutsis Park,Park Site,City of Carnation,City,City of Carnation,City,City of Carnation,City,3024.55462815236,266318.938075241
1335,2980,6220502,Peterson Lake Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,15412.7438770228,6311235.14554547
1336,8102,6240101,Steven and Rosina Kipper Preserve,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,4320.74590390982,745567.462315577
1337,2646,5250101,Nike Neighborhood Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,3781.428788955,484268.475307231
1338,5387,7242402,Whitaker Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,2729.55538749561,96534.7160323837
1339,5104,4233001,City Hall Park - Normandy Park,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,2791.89082909629,352333.410443247
1340,5379,5260303,Rotary Community Park,Park Site,City of Woodinville,City,City of Woodinville,City,City of Woodinville,City,4326.96712085284,797655.926823729
1341,5321,6223005,Jenkins Creek Trail - Covington,Park Site,City of Covington,City,City of Covington,City,City of Covington,City,2758.39608284237,146583.82116857
1342,7275,5251703,Carillon Woods,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,3349.94591681913,396020.402805474
1343,2848,7203002,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,18862.9726143507,3411068.14736076
1344,7444,4240701,Jack Perry Park,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,1834.33400417517,53870.6869639092
1345,2555,4230704,Hazel Valley Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1925.03117271452,125097.973651319
1346,7242,4242702,Othello Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2430.76479670377,329428.485234563
1347,7107,3251106,Ballard Commons Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,999.606622314379,59953.7578334986
1348,2323,5222602,Soos Creek Park - Kent,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,2462.59105064074,183206.00503372
1349,2364,5210501,Auburndale Two Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,2531.79157999602,400125.702203613
1350,7266,4253109,Olympic Sculpture Park,Park Site,Seattle Art Museum,Non Profit Corporation,Seattle Art Museum,Non Profit Corporation,Seattle Art Museum,Non Profit Corporation,3719.60704024439,271383.586962651
1351,2337,5213103,Lakeland Hills Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,2332.85777859759,220606.171318413
